"category","country","unit","year","value"
"Total cocoa and products 1/","Canada","Million dollars","2023","2031.6"
"Total cocoa and products 1/","Canada","Million dollars","2022","1933"
"Total cocoa and products 1/","Canada","Million dollars","2021","1688.4"
"Total cocoa and products 1/","Canada","Million dollars","2020","1544.5"
"Total cocoa and products 1/","Canada","Million dollars","2019","1518.7"
"Total cocoa and products 1/","Canada","Million dollars","2018","1403.1"
"Total cocoa and products 1/","Canada","Million dollars","2017","1454.5"
"Total cocoa and products 1/","Canada","Million dollars","2016","1445.8"
"Total cocoa and products 1/","Canada","Million dollars","2015","1321"
"Total cocoa and products 1/","Canada","Million dollars","2014","1177.5"
"Total cocoa and products 1/","Canada","Million dollars","2013","1046.0999999999999"
"Total cocoa and products 1/","Canada","Million dollars","2012","989.5"
"Total cocoa and products 1/","Canada","Million dollars","2011","940.7"
"Total cocoa and products 1/","Canada","Million dollars","2010","872.4"
"Total cocoa and products 1/","Canada","Million dollars","2009","647.4"
"Total cocoa and products 1/","Canada","Million dollars","2008","758.5"
"Total cocoa and products 1/","Canada","Million dollars","2007","725.9"
"Total cocoa and products 1/","Canada","Million dollars","2006","708.9"
"Total cocoa and products 1/","Canada","Million dollars","2005","712.5"
"Total cocoa and products 1/","Canada","Million dollars","2004","721.7"
"Total cocoa and products 1/","Canada","Million dollars","2003","705.4"
"Total cocoa and products 1/","Canada","Million dollars","2002","525.9"
"Total cocoa and products 1/","Canada","Million dollars","2001","456.2"
"Total cocoa and products 1/","Canada","Million dollars","2000","391.1"
"Total cocoa and products 1/","Canada","Million dollars","1999","346.3"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2023","701.9"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2022","773.8"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2021","1002.8"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2020","771.8"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2019","656.3"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2018","733.5"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2017","895.3"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2016","1035.3"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2015","913.5"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2014","933.4"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2013","806.7"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2012","731.5"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2011","870.5"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2010","770.2"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2009","635.4"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2008","624.70000000000005"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2007","427"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2006","463.5"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2005","607.4"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2004","457.5"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2003","403.9"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2002","276"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2001","219.2"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","2000","238.7"
"Total cocoa and products 1/","Cote d'Ivoire","Million dollars","1999","291.2"
"Total cocoa and products 1/","Mexico","Million dollars","2023","612"
"Total cocoa and products 1/","Mexico","Million dollars","2022","624.6"
"Total cocoa and products 1/","Mexico","Million dollars","2021","523.20000000000005"
"Total cocoa and products 1/","Mexico","Million dollars","2020","553.70000000000005"
"Total cocoa and products 1/","Mexico","Million dollars","2019","571.4"
"Total cocoa and products 1/","Mexico","Million dollars","2018","500.9"
"Total cocoa and products 1/","Mexico","Million dollars","2017","542"
"Total cocoa and products 1/","Mexico","Million dollars","2016","521.4"
"Total cocoa and products 1/","Mexico","Million dollars","2015","501.5"
"Total cocoa and products 1/","Mexico","Million dollars","2014","479.1"
"Total cocoa and products 1/","Mexico","Million dollars","2013","499.4"
"Total cocoa and products 1/","Mexico","Million dollars","2012","514.9"
"Total cocoa and products 1/","Mexico","Million dollars","2011","532.9"
"Total cocoa and products 1/","Mexico","Million dollars","2010","454.2"
"Total cocoa and products 1/","Mexico","Million dollars","2009","355.2"
"Total cocoa and products 1/","Mexico","Million dollars","2008","215.1"
"Total cocoa and products 1/","Mexico","Million dollars","2007","146.80000000000001"
"Total cocoa and products 1/","Mexico","Million dollars","2006","130.80000000000001"
"Total cocoa and products 1/","Mexico","Million dollars","2005","103.2"
"Total cocoa and products 1/","Mexico","Million dollars","2004","89"
"Total cocoa and products 1/","Mexico","Million dollars","2003","78.3"
"Total cocoa and products 1/","Mexico","Million dollars","2002","60.3"
"Total cocoa and products 1/","Mexico","Million dollars","2001","39.1"
"Total cocoa and products 1/","Mexico","Million dollars","2000","34"
"Total cocoa and products 1/","Mexico","Million dollars","1999","38.700000000000003"
"Total cocoa and products 1/","Ghana","Million dollars","2023","265"
"Total cocoa and products 1/","Ghana","Million dollars","2022","273"
"Total cocoa and products 1/","Ghana","Million dollars","2021","218.7"
"Total cocoa and products 1/","Ghana","Million dollars","2020","195.6"
"Total cocoa and products 1/","Ghana","Million dollars","2019","224.9"
"Total cocoa and products 1/","Ghana","Million dollars","2018","168.9"
"Total cocoa and products 1/","Ghana","Million dollars","2017","224"
"Total cocoa and products 1/","Ghana","Million dollars","2016","226.3"
"Total cocoa and products 1/","Ghana","Million dollars","2015","218.2"
"Total cocoa and products 1/","Ghana","Million dollars","2014","190.5"
"Total cocoa and products 1/","Ghana","Million dollars","2013","178.2"
"Total cocoa and products 1/","Ghana","Million dollars","2012","176"
"Total cocoa and products 1/","Ghana","Million dollars","2011","269.39999999999998"
"Total cocoa and products 1/","Ghana","Million dollars","2010","181.9"
"Total cocoa and products 1/","Ghana","Million dollars","2009","87.4"
"Total cocoa and products 1/","Ghana","Million dollars","2008","15.9"
"Total cocoa and products 1/","Ghana","Million dollars","2007","49.6"
"Total cocoa and products 1/","Ghana","Million dollars","2006","68.2"
"Total cocoa and products 1/","Ghana","Million dollars","2005","29.4"
"Total cocoa and products 1/","Ghana","Million dollars","2004","18.600000000000001"
"Total cocoa and products 1/","Ghana","Million dollars","2003","7.3"
"Total cocoa and products 1/","Ghana","Million dollars","2002","24.7"
"Total cocoa and products 1/","Ghana","Million dollars","2001","54.5"
"Total cocoa and products 1/","Ghana","Million dollars","2000","67.900000000000006"
"Total cocoa and products 1/","Ghana","Million dollars","1999","39.799999999999997"
"Total cocoa and products 1/","Malaysia","Million dollars","2023","250.2"
"Total cocoa and products 1/","Malaysia","Million dollars","2022","229.9"
"Total cocoa and products 1/","Malaysia","Million dollars","2021","170.7"
"Total cocoa and products 1/","Malaysia","Million dollars","2020","205.6"
"Total cocoa and products 1/","Malaysia","Million dollars","2019","197.6"
"Total cocoa and products 1/","Malaysia","Million dollars","2018","120.7"
"Total cocoa and products 1/","Malaysia","Million dollars","2017","125.8"
"Total cocoa and products 1/","Malaysia","Million dollars","2016","128.19999999999999"
"Total cocoa and products 1/","Malaysia","Million dollars","2015","128.80000000000001"
"Total cocoa and products 1/","Malaysia","Million dollars","2014","185.2"
"Total cocoa and products 1/","Malaysia","Million dollars","2013","133.80000000000001"
"Total cocoa and products 1/","Malaysia","Million dollars","2012","148.19999999999999"
"Total cocoa and products 1/","Malaysia","Million dollars","2011","278.39999999999998"
"Total cocoa and products 1/","Malaysia","Million dollars","2010","307.60000000000002"
"Total cocoa and products 1/","Malaysia","Million dollars","2009","241.9"
"Total cocoa and products 1/","Malaysia","Million dollars","2008","256.10000000000002"
"Total cocoa and products 1/","Malaysia","Million dollars","2007","121.4"
"Total cocoa and products 1/","Malaysia","Million dollars","2006","108.3"
"Total cocoa and products 1/","Malaysia","Million dollars","2005","112.3"
"Total cocoa and products 1/","Malaysia","Million dollars","2004","110"
"Total cocoa and products 1/","Malaysia","Million dollars","2003","89.9"
"Total cocoa and products 1/","Malaysia","Million dollars","2002","38.700000000000003"
"Total cocoa and products 1/","Malaysia","Million dollars","2001","47.3"
"Total cocoa and products 1/","Malaysia","Million dollars","2000","43.5"
"Total cocoa and products 1/","Malaysia","Million dollars","1999","57"
"Total cocoa and products 1/","Ecuador","Million dollars","2023","240.1"
"Total cocoa and products 1/","Ecuador","Million dollars","2022","218.3"
"Total cocoa and products 1/","Ecuador","Million dollars","2021","236.1"
"Total cocoa and products 1/","Ecuador","Million dollars","2020","237.6"
"Total cocoa and products 1/","Ecuador","Million dollars","2019","142.30000000000001"
"Total cocoa and products 1/","Ecuador","Million dollars","2018","136.69999999999999"
"Total cocoa and products 1/","Ecuador","Million dollars","2017","143.4"
"Total cocoa and products 1/","Ecuador","Million dollars","2016","192.1"
"Total cocoa and products 1/","Ecuador","Million dollars","2015","310.3"
"Total cocoa and products 1/","Ecuador","Million dollars","2014","258"
"Total cocoa and products 1/","Ecuador","Million dollars","2013","185"
"Total cocoa and products 1/","Ecuador","Million dollars","2012","132.5"
"Total cocoa and products 1/","Ecuador","Million dollars","2011","246.9"
"Total cocoa and products 1/","Ecuador","Million dollars","2010","103.5"
